Suburb,Pharmacy name,Address,Postcode,Phone,Local Government Area,Service
Nowra,Blooms the Chemist Nowra Mall,"Shop 25, 20 Kinghorne Street",2541,(02) 4421 3946,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Nowra,Priceline Pharmacy Nowra,102 Junction Street,2541,(02) 4423 2393,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Nowra,Blooms the Chemist Nowra Junction Street,130 Junction Street,2541,(02) 4421 3175,Shoalhaven City Council,"Urinary tract infection, Oral contraceptive pill"
Nyngan,Nyngan Pharmacy,115 Pangee Street,2825,(02) 6832 1054,Bogan Shire,"Urinary tract infection, Oral contraceptive pill"
Oak Flats,Oak Flats Pharmacy,64 Central Avenue,2529,(02) 4256 1206,Shellharbour City Council,"Urinary tract infection, Oral contraceptive pill"
Oatlands,Oatlands Pharmacy,42 Belmore Street East,2117,(02) 9630 2858,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Oatley,Mullanes Pharmacy,121A Mulga Road,2223,(02) 9580 2365,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Oberon,Oberon Pharmacy,135 Oberon Street,2787,(02) 6336 1466,Oberon Council,"Urinary tract infection, Oral contraceptive pill"
Old Bar,Old Bar Pharmacy,1/48 Old Bar Road,2430,(02) 6553 7660,Mid-Coast Council,"Urinary tract infection, Oral contraceptive pill"
Old Toongabbie,Old Toongabbie Pharmacy,"Shop 2, 58-62 Fitzwilliam Road",2146,(02) 9631 3177,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Oran Park,Priceline Pharmacy Oran Park,"Shop 7E Oran Park Podium, 351 Oran Park Drive",2570,(02) 4623 1224,Camden Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Hogans Pharmacy,123 Sale Street,2800,(02) 6362 3680,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Chemist Warehouse Orange,158-160 Summer Street,2800,(02) 6360 2960,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Orange Compounding Pharmacy,184-186 Summer Street,2800,(02) 6362 1564,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Blooms the Chemist Orange,"Shop 19, Orange Central Square, 227 - 237 Summer Street",2800,(02) 6362 1267,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Life Pharmacy Orange,"Shops T4/5, 82/88 Summer Street",2800,(02) 6362 1009,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Priceline Pharmacy Orange City Centre,"Shop 2-4, 190 Anson Street",2800,(02) 6362 8444,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,North Orange Discount Drug Store,"Shop T12, 9 Telopea Way",2800,(02) 6369 0004,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange,Peter Smith TerryWhite Chemmart,180 Summer Street,2800,(02) 6362 4029,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Orange​,Starchem Pharmacy Orange,171 Lords Place,2800,(02) 6363 1633,Orange City Council,"Urinary tract infection, Oral contraceptive pill"
Oxley Park,Morris Care & Advice Pharmacy,Shop 2/46 Sydney Street,2760,(02) 9623 2129,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Oyster Bay,Oyster Bay Pharmacy,129 Como Road,2225,(02) 9528 9323,Sutherland Shire,"Urinary tract infection, Oral contraceptive pill"
Paddington,Paddington Compounding Pharmacy,322-324 Oxford Street,2021,(02) 9360 4566,Municipality of Woollahra,"Urinary tract infection, Oral contraceptive pill"
Padstow,Smiths MediAdvice Pharmacy,23 Padstow Parade,2211,(02) 9773 7627,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Padstow,Blooms the Chemist Padstow,57-59 Padstow Parade,2211,(02) 9773 9427,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Padstow,Faraday Road Pharmacy,11 Faraday Road,2211,(02) 9773 6426,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Panania,Chemist Hub Panania,54-56 Anderson Avenue,2213,(02) 9773 7880,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Panania,Thurn's Pharmacy,161 Tower Street,2231,(02) 8764 0155,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Panania,Panania Pharmacy,72 Anderson Avenue,2213,(02) 9773 9801,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Parkes,Ron Dunford Chemist,280 Clarinda Street,2870,(02) 6862 1099,Parkes Shire Council,"Urinary tract infection, Oral contraceptive pill"
Parkes,Parkes Pharmacy,"Shop 6, 279-283 Clarinda Street",2870,(02) 6862 2411,Parkes Shire Council,"Urinary tract infection, Oral contraceptive pill"
Parramatta,Zenith Pharmacy,Shop 13,2150,(02) 9687 7401,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Parramatta,Chemist Warehouse Parramatta,202-214 Church St,2150,(02) 9635 0488,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Parramatta,Chemist Warehouse North Parramatta,458 Church Street,2150,(02) 8381 4566,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Parramatta,Pharmacy Junction Parrramatta,"Shop 5020-5021, Level 5",2150,(02) 9633 2238,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Parramatta,Chemist Warehouse Westfield Parramatta,Shop M11B Westfield,2150,(02) 9673 8056,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Parramatta,Darin's Pharmacy,140 Victoria Road,2151,(02) 9630 2056,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Parramatta,Priceline Pharmacy Parramatta,"Westfield Parramatta Shop M10, Level 2, 159-175 Church Street",2150,(02) 9633 1770,"Parramatta, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Parramatta,Pharmacy 4 Less Parramatta,240 Church Street,2150,(02) 9687 4600,Council of the City of Parramatta,"Urinary tract infection, Oral contraceptive pill"
Paterson,Paterson Chemist,16 King Street,2421,(02) 4938 5335,Dungog Shire Council,"Urinary tract infection, Oral contraceptive pill"
Peakhurst,Rakoty Pharmacy,9C Park Street,2222,(02) 9534 7045,Georges River Council,Urinary tract infection
Pennant Hills,Chemist Warehouse Pennant Hills,3 Hillcrest Road,2120,(02) 9484 1055,The Council of the Shire of Hornsby,"Urinary tract infection, Oral contraceptive pill"
Penrith,Blooms the Chemist Nepean,"Shop 39, 148 Station Street",2750,(02) 4732 1328,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Penrith,Steve's Pharmacy,383 High Street,2750,(02) 4721 2074,Penrith City Council,"Urinary tract infection, Oral contraceptive pill​"
Penrith,Chemist Warehouse Penrith Plaza,139/585 High Street,2750,(02) 4721 2200,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Penrith,Penrith 24 Hour Pharmacy,438 High Street,2750,(02) 4721 5527,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Penrith,TerryWhite Chemmart Compounding Penrith,447 High Street,2750,(02) 4721 8117,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Penrith,Blooms the Chemist Penrith High Street,3/535-537 High Street,2750,(02) 4724 2050,Penrith City Council,"Urinary tract infection, Oral contraceptive pill"
Phillip,Pharmasave Woden Pharmacy,Shop 67/2 Keltie Street,2606,(02) 6282 3960,Australian Capital Territory,"Urinary tract infection, Oral contraceptive pill"
Picnic Point,Calmans Pharmacy,127N Kennedy Street,2213,(02) 9773 9464,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Picton,Picton Discount Drug Store,"Shop T25-27 Picton Mall, 9 Margaret Steet",2571,(02) 4677 1294,Wollondilly Shire Council,"Urinary tract infection, Oral contraceptive pill"
Plumpton,TerryWhite Chemmart Plumpton,MarketplaceShop 20/260 Jersey Road,2761,(02) 9832 1308,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Pokolbin,Pokolbin Village Pharmacy,"Shop 13, 2090 Broke Road",2320,(02) 4998 6677,Cessnock City Council,Urinary tract infection
Port Kembla,Bowdens Discount Chemist,71 Wentworth Street,2505,(02) 4274 2044,Wollongong City Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Clifton Pharmacy Outlet,3 Clifton Dr,2444,(02) 6583 5653,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Settlement City Pharmacy,"Shop 10 & 11, Bay Street",2444,(02) 6583 4888,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Lord Street Pharmacy,Suite 1/85 Lord Street,2444,(02) 6583 4711,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Flynn's Beach Pharmacy,Shop 4/53 Pacific Drive,2444,(02) 6583 7466,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Lake Road Pharmacy,72/80 Lake Road,2444,(02) 6584 1366,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Chemist Warehouse Bay Park Plaza,5/4 Bay Street,2444,(02) 6583 2697,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Port Macquarie Priceline Pharmacy,36 Horton Street,2444,(02) 6583 1900,Port Macquarie-Hastings Council,Urinary tract infection
Port Macquarie,Plunkett's TerryWhite Chemmart Port Macquarie,158 Gordon Street,2444,(02) 6584 0044,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Chemist Warehouse Port Central Shopping Centre,"Shop 47/48, 40-42 Horton Street",2444,(02) 6583 4933,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,Shelly Beach Pharmacy,"Shop 1, 1A Waniora Parkway",2444,(02) 5590 0166,Port Macquarie-Hastings Council,"Urinary tract infection, Oral contraceptive pill"
Port Macquarie,The Good Shepherd Pharmacy,1/10 Jindalee Road,2444,(02) 6581 3564,Northern Beaches Council,"Urinary tract infection, Oral contraceptive pill"
Portland,Portland Pharmacy,59 Williwa Street,2847,(02) 6355 5100,City of Lithgow Council,"Urinary tract infection, Oral contraceptive pill"
Potts Point,Potts Point Pharmacy,7/1-21 Darlinghurst Road,2011,(02) 8354 1851,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Potts Point,Blakes Pharmacy,18 Darlinghurst Road,2011,(02) 9358 6712,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Potts Point,Amcal Pharmacy Potts Point,Shop 4/81 Macleay Street,2011,(02) 9368 0310,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Potts Point,TerryWhite Chemmart Kings Cross,"Shop 5, 111 Darlinghurst Road",2011,(02) 9358 1822,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Potts Point,Priceline Pharmacy Potts Point,"Shop 2, 50 Macleay Street",2011,(02) 9358 6463,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Potts Point,Kings Cross Centre Pharmacy,TG 13 82-94 Darlinghurst Road,2011,(02) 8084 7504,"Sydney, Council of the City of","Urinary tract infection, Oral contraceptive pill"
Pottsville Beach,Ramsay Pharmacy Pottsville Beach,"Shop 3, 15 Coronation Avenue",2489,(02) 6676 3044,Tweed Shire Council,"Urinary tract infection, Oral contraceptive pill"
Prestons,Pennas Prestons Pharmacy,57 Minnamurra Cct,2171,(02) 9607 0999,Liverpool City Council,"Urinary tract infection, Oral contraceptive pill"
Prestons,MediPharm Discount Chemist,7/2 Lyn Parade,2170,(02) 8784 3838,Liverpool City Council,Urinary tract infection
Prospect,Chemist Connect Prospect,2/3 Aldgate Street,2148,(02) 9631 0941,Blacktown City Council,Urinary tract infection
Punchbowl,Punchbowl Pharmacy,252-254 The Boulevarde,2196,(02) 9759 2259,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Punchbowl,Chemist Warehouse Punchbowl,Shop 18/1 Broadway,2196,(02) 8381 4500,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Pymble,Pymble Pharmacy,99-101 Grandview Street,2073,(02) 8294 8948,Ku-ring-gai Council,"Urinary tract infection, Oral contraceptive pill"
Pyrmont,TerryWhite Chemmart Miller St,2/110 Miller Street,2009,(02) 9188 1481,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Quakers Hill,Good Price Discount Pharmacy,"Shop 12, Quakers Road & Falmouth Road",2148,(02) 9626 0243,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Queanbeyan,Blooms the Chemist Queanbeyan,"Shop 2-3, 183 Crawford Street",2620,(02) 6297 1872,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Queanbeyan,Queanbeyan Pharmacy,23 Antill Street,2620,(02) 6297 6570,Queanbeyan-Palerang Regional Council,"Urinary tract infection, Oral contraceptive pill"
Quirindi,Quirindi Pharmacy,8/22 Station Street,2343,(02) 6746 1255,Liverpool Plains Shire Council,"Urinary tract infection, Oral contraceptive pill"
Ramsgate,Tuckers Pharmacy,282 Rocky Point Road,2217,(02) 9529 7472,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Ramsgate,The Centre Pharmacy Sans Souci,183A Ramsgate Road,2217,(02) 9529 8728,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Ramsgate Beach,Eddie's Pharmacy,211B Ramsgate Road,2217,(02) 9529 3367,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Randwick,Simons Pharmacy,1 Belmore Road,2031,(02) 9399 3040,Randwick City Council,"Urinary tract infection, Oral contraceptive pill"
Randwick,Hospital Foyer Pharmacy,S6 Randwick Hospitals Campus CentreBarker Street,2031,(02) 9382 8800,Randwick City Council,"Urinary tract infection, Oral contraceptive pill"
Randwick,Blooms the Chemist Royal Randwick,"Shop 26, Royal Randwick Shopping Centre, 73 Belmore Road",2031,(02) 9398 1999,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Randwick,Chemist Warehouse Randwick,"Shop 1-3, 166-168 Belmore Road",2031,(02) 9398 4849,Randwick City Council,"Urinary tract infection, Oral contraceptive pill"
Randwick,Frenchmans Road Pharmacy,59 Frenchmans Road,2031,(02) 9399 3921,City of Randwick,"Urinary tract infection, Oral contraceptive pill"
Raymond Terrace,Capital Chemist Raymond Terrace​,18 William Street,2324,(02) 4987 3466,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Raymond Terrace,TerryWhite Chemmart Raymond Terrace,"Shop 4, Terrace Central 34 Sturgeon Street",2324,(02) 4987 2492,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Raymond Terrace,Blooms the Chemist Raymond Terrace,"Shop 17, The Marketplace, 35 William Street",2324,(02) 4987 5975,Port Stephens Council,"Urinary tract infection, Oral contraceptive pill"
Redfern,Redfern Discount Drug Store,"Ground Floor, 147-151 Redfern Street",2016,(02) 8313 2929,Council of the City of Sydney,"Urinary tract infection, Oral contraceptive pill"
Redhead,My Village Pharmacy Redhead,1/103 Cowlishaw Street,2290,(02) 4944 7165,Lake Macquarie City Council,"Urinary tract infection, Oral contraceptive pill"
Regents Park,Regents Park Pharmacy,34 Amy Street,2143,(02) 9644 2605,Cumberland Council,"Urinary tract infection, Oral contraceptive pill"
Revesby,Cincotta Discount Chemist Revesby,28 Marco Avenue,2212,(02) 9773 8510,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Revesby,Pharmacy 4 Less Revesby,21 Revesby Place,2212,(02) 9773 9186,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Revesby,TerryWhite Chemmart Revesby,"Shop 16, 19-29 Marco Avenue",2212,(02) 9773 8153,Canterbury Bankstown Council,"Urinary tract infection, Oral contraceptive pill"
Rhodes,Priceline Pharmacy Rhodes,"Shop 1, 1 Rider Boulevard",2138,(02) 9743 3965,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Rhodes,Cincotta Discount Chemist Rhodes,"Shop G30, 6-14 Walker Street",2138,(02) 9189 9788,City of Canada Bay Council,"Urinary tract infection, Oral contraceptive pill"
Richmond,Blooms the Chemist Richmond,"Shop 45, Richmond Market Place, 46 March Street",2753,(02) 4578 1557,Hawkesbury City Council,"Urinary tract infection, Oral contraceptive pill"
Riverwood,Belm​ore Road Pharmacy,323 Belmore Road,2210,(02) 9153 8710,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Riverwood,Galluzzo's Pharmacy Riverwood Plaza,Shop 11-14/247 Belmore Road,2210,(02) 9534 2000,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Riverwood,Burkes Riverwood Pharmacy,272 Belmore Road,2210,(02) 9153 8762,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Riverwood,Pharmasave Riverwood Discount Chemist,278-280 Belmore Road,2210,(02) 9153 7347,Georges River Council,"Urinary tract infection, Oral contraceptive pill"
Robertson,Robertson Village Pharmacy,Shop 2 101-103 Hoddle Street,2577,(02) 4885 2936,Wingecarribee Shire Council,"Urinary tract infection, Oral contraceptive pill"
Rockdale,Rockdale Compounding Pharmacy,487 Princes Highway,2216,(02) 9567 3404,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Rockdale,Chemist Outlet Rockdale,19 Bay Street,2216,(02) 9597 3431,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Rockdale,Chemist Hub Rockdale,496 Princes Highway,2216,(02) 9567 2632,Bayside Council,"Urinary tract infection, Oral contraceptive pill"
Rooty Hill,Pharmasave Master Pharmacy Outlet,"Shop 1-3, 52 Road Hill Road North",2766,(02) 9625 8677,Blacktown City Council,Urinary tract infection
Ropes Crossing,Ropes Central Pharmacy,8 Central Place,2760,(02) 9623 3888,Blacktown City Council,"Urinary tract infection, Oral contraceptive pill"
Rosebay,TerryWhite Chemmart Gaslight Pharmacy,484 Old South Head Road,2029,(02) 9371 9414,Woollahra Municipal Council,"Urinary tract infection, Oral contraceptive pill"
